,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_time_diff
99,2015,6,monaco,kvyat,Russian,red_bull,5,4,5,0,15,30,0,4,1.0840000000000032,21,0.14100000000000534
101,2015,6,monaco,raikkonen,Finnish,ferrari,6,6,52,0,4,132,1,2,1.3289999999999935,35,0.24499999999999034
102,2015,6,monaco,perez,Mexican,force_india,7,7,5,0,13,11,0,8,1.7099999999999937,25,0.3810000000000002
114,2015,6,monaco,maldonado,Venezuelan,lotus_f1,8,20,0,0,20,16,0,6,1.847999999999999,30,0.13800000000000523
112,2015,6,monaco,max_verstappen,Dutch,toro_rosso,9,18,6,0,11,14,0,7,1.8589999999999947,17,0.01099999999999568
103,2015,6,monaco,button,British,mclaren,10,8,0,0,17,0,0,9,1.9950000000000045,35,0.1360000000000099
105,2015,6,monaco,hulkenberg,German,force_india,11,11,6,0,12,11,0,8,2.094999999999999,27,0.09999999999999432
109,2015,6,monaco,massa,Brazilian,williams,12,15,39,0,6,81,0,3,2.1799999999999926,34,0.08499999999999375
113,2015,6,monaco,alonso,Spanish,mclaren,13,19,0,0,16,0,0,9,11.534000000000006,33,9.354000000000013
104,2015,6,monaco,nasr,Brazilian,sauber,14,9,14,0,9,19,0,5,3.003,22,-8.531000000000006
106,2015,6,monaco,grosjean,French,lotus_f1,15,12,16,0,8,16,0,6,1.909000000000006,29,-1.093999999999994
108,2015,6,monaco,bottas,Finnish,williams,16,14,42,0,5,81,0,3,3.3359999999999985,25,1.4269999999999925
107,2015,6,monaco,ericsson,Swedish,sauber,17,13,5,0,14,19,0,5,3.4150000000000063,24,0.07900000000000773
111,2015,6,monaco,stevens,British,manor,18,17,0,0,19,0,0,10,5.557000000000002,23,2.141999999999996
110,2015,6,monaco,merhi,Spanish,manor,19,16,0,0,18,0,0,10,5.805999999999997,24,0.24899999999999523
115,2015,7,villeneuve,hamilton,British,mercedes,1,1,126,3,1,242,5,1,0.0,30,
116,2015,7,villeneuve,rosberg,German,mercedes,2,2,116,2,2,242,5,1,0.3089999999999975,29,0.3089999999999975
118,2015,7,villeneuve,raikkonen,Finnish,ferrari,3,4,60,0,4,158,1,2,0.6209999999999951,35,0.3119999999999976
117,2015,7,villeneuve,bottas,Finnish,williams,4,3,42,0,5,81,0,3,0.7090000000000032,25,0.08800000000000807
124,2015,7,villeneuve,grosjean,French,lotus_f1,5,10,16,0,10,16,0,7,0.8010000000000019,29,0.09199999999999875
121,2015,7,villeneuve,maldonado,Venezuelan,lotus_f1,6,7,0,0,20,16,0,7,0.936000000000007,30,0.13500000000000512
122,2015,7,villeneuve,hulkenberg,German,force_india,7,8,6,0,13,17,0,6,1.2210000000000036,27,0.2849999999999966
123,2015,7,villeneuve,kvyat,Russian,red_bull,8,9,17,0,8,52,0,4,1.686000000000007,21,0.4650000000000034
127,2015,7,villeneuve,ricciardo,Australian,red_bull,9,13,35,0,7,52,0,4,1.7210000000000036,25,0.03499999999999659
125,2015,7,villeneuve,perez,Mexican,force_india,10,11,11,0,11,17,0,6,1.9449999999999932,25,0.22399999999998954
126,2015,7,villeneuve,sainz,Spanish,toro_rosso,11,12,9,0,12,15,0,8,1.649000000000001,20,-0.29599999999999227
128,2015,7,villeneuve,ericsson,Swedish,sauber,12,14,5,0,15,21,0,5,1.8689999999999998,24,0.21999999999999886
134,2015,7,villeneuve,alonso,Spanish,mclaren,13,20,0,0,17,4,0,9,1.8829999999999956,33,0.013999999999995794
130,2015,7,villeneuve,nasr,Brazilian,sauber,14,16,16,0,9,21,0,5,2.227000000000004,22,0.3440000000000083
120,2015,7,villeneuve,massa,Brazilian,williams,15,6,39,0,6,81,0,3,3.492999999999995,34,1.2659999999999911
132,2015,7,villeneuve,merhi,Spanish,manor,16,18,0,0,18,0,0,10,4.739999999999995,24,1.2469999999999999
131,2015,7,villeneuve,stevens,British,manor,17,17,0,0,19,0,0,10,4.763999999999996,23,0.02400000000000091
119,2015,7,villeneuve,vettel,German,ferrari,18,5,98,1,3,158,1,2,2.9509999999999934,27,-1.8130000000000024
129,2015,7,villeneuve,max_verstappen,Dutch,toro_rosso,19,15,6,0,14,15,0,8,1.8520000000000039,17,-1.0989999999999895
136,2015,8,red_bull_ring,hamilton,British,mercedes,1,2,151,4,1,285,6,1,0.0,30,
135,2015,8,red_bull_ring,rosberg,German,mercedes,2,1,134,2,2,285,6,1,0.17900000000000205,29,0.17900000000000205
138,2015,8,red_bull_ring,vettel,German,ferrari,3,4,108,1,3,180,1,2,0.355000000000004,27,0.17600000000000193
137,2015,8,red_bull_ring,massa,Brazilian,williams,4,3,47,0,6,104,0,3,0.737000000000009,34,0.382000000000005
140,2015,8,red_bull_ring,hulkenberg,German,force_india,5,6,10,0,12,21,0,7,0.8230000000000075,27,0.08599999999999852
139,2015,8,red_bull_ring,bottas,Finnish,williams,6,5,57,0,5,104,0,3,0.8640000000000043,25,0.04099999999999682
142,2015,8,red_bull_ring,max_verstappen,Dutch,toro_rosso,7,8,6,0,14,15,0,8,1.1569999999999965,17,0.29299999999999216
145,2015,8,red_bull_ring,nasr,Brazilian,sauber,8,11,16,0,10,21,0,6,1.1970000000000027,22,0.04000000000000625
149,2015,8,red_bull_ring,grosjean,French,lotus_f1,9,15,17,0,9,23,0,5,1.4650000000000034,29,0.2680000000000007
141,2015,8,red_bull_ring,maldonado,Venezuelan,lotus_f1,10,7,6,0,15,23,0,5,1.918999999999997,30,0.4539999999999935
147,2015,8,red_bull_ring,ericsson,Swedish,sauber,11,13,5,0,16,21,0,6,1.9710000000000036,24,0.05200000000000671
150,2015,8,red_bull_ring,sainz,Spanish,toro_rosso,12,16,9,0,13,15,0,8,2.010000000000005,20,0.03900000000000148
143,2015,8,red_bull_ring,perez,Mexican,force_india,13,9,11,0,11,21,0,7,4.067000000000007,25,2.057000000000002
153,2015,8,red_bull_ring,raikkonen,Finnish,ferrari,14,19,72,0,4,180,1,2,4.412000000000006,35,0.34499999999999886
146,2015,8,red_bull_ring,kvyat,Russian,red_bull,15,12,19,0,8,54,0,4,1.2390000000000043,21,-3.173000000000002
148,2015,8,red_bull_ring,merhi,Spanish,manor,16,14,0,0,19,0,0,10,5.616,24,4.376999999999995
152,2015,8,red_bull_ring,stevens,British,manor,17,18,0,0,20,0,0,10,6.912999999999997,23,1.296999999999997
144,2015,8,red_bull_ring,ricciardo,Australian,red_bull,18,10,35,0,7,54,0,4,2.027000000000001,25,-4.885999999999996
154,2015,8,red_bull_ring,alonso,Spanish,mclaren,19,20,0,0,18,4,0,9,2.281000000000006,33,0.2540000000000049
151,2015,8,red_bull_ring,button,British,mclaren,20,17,4,0,17,4,0,9,4.177000000000007,35,1.8960000000000008
155,2015,9,silverstone,hamilton,British,mercedes,1,1,169,4,1,328,7,1,0.0,30,
156,2015,9,silverstone,rosberg,German,mercedes,2,2,159,3,2,328,7,1,0.11299999999999955,30,0.11299999999999955
158,2015,9,silverstone,massa,Brazilian,williams,3,4,62,0,6,129,0,3,0.8370000000000175,34,0.724000000000018
